Файл;Что на картинке;Исходный файл в images/;Было, байт;Стало, байт;Экономия;Схожесть;Как сжато
01-foto-zavtrak-na-podnose.webp;Фото: завтрак на подносе в номере — иллюстрация на главной;tild3030-6364-4062-b533-396362383538______502702.png;2394390;345858;-86%;0.9722;качество 95
02-logotip-bereza.webp;Логотип «БЕРЁЗА · доставка блюд в номера», с прозрачностью;tild3033-3038-4630-a239-373561363731__chatgpt_image_25__20.png;758417;253638;-67%;0.9984;качество 98
03-logotip-bereza-dubl.webp;Тот же логотип, загружен в Tilda второй раз (файл байт в байт совпадает с 02);tild3665-6632-4437-a538-623833616663__chatgpt_image_25__20.png;758417;253638;-67%;0.9984;качество 98
04-oblozhka-glavnoi.jpg;Обложка первого экрана главной страницы;tild3464-3631-4138-b238-323164626530__photo.jpg;101134;101134;-0%;1.0000;оставлен как есть
05-foto-pelmeni.jpg;Фото: пельмени на доске;tild3631-3666-4164-b339-353834653061__072a5727.jpg;358307;358307;-0%;1.0000;оставлен как есть
06-oblozhka-politika-dannyh.webp;Обложка страницы «Политика обработки персональных данных»;tild3034-6562-4364-b532-313033396436_____.jpg;72144;47224;-35%;0.9966;качество 95
07-oblozhka-soglasie-dannye.webp;Обложка страницы «Согласие на обработку персональных данных»;tild3136-6631-4932-b162-313539363962______.jpg;73906;48766;-34%;0.9966;качество 95
08-oblozhka-soglasie-rassylka.webp;Обложка страницы «Согласие на получение рассылки»;tild3263-6464-4438-b464-363334343130______-_.jpg;88904;60192;-32%;0.9967;качество 95
09-oblozhka-polzovatelskoe.webp;Обложка страницы «Пользовательское соглашение»;tild3361-6330-4036-b763-393934343364___.jpg;65504;42580;-35%;0.9967;качество 95
10-oblozhka-oferta.webp;Обложка страницы «Публичная оферта»;tild3930-3537-4833-a536-343938363231___.jpg;59297;38480;-35%;0.9966;качество 95
11-oblozhka-rekomendatelnye.webp;Обложка страницы «Правила применения рекомендательных технологий»;tild6130-6639-4561-a332-396637363161_____.jpg;76680;50352;-34%;0.9966;качество 95
12-oblozhka-metricheskie.webp;Обложка страницы «Согласие на обработку данных метрическими программами»;tild6462-3136-4537-b532-346666396433____1.jpg;80285;53564;-33%;0.9966;качество 95
